capt.ID	season	year	visit	cave	length
4EE942	august	2012	1	C12	115
4EE942	august	2014	1	C12	121
4EE942	august	2015	NA	C12	124
4EE942	june	2014	2	C12	120
4EE942	june	2015	2	C12	122
4EDF5A	august	2013	1	C10	82
4EE95D	august	2012	2	C12	120
4EE95D	june	2016	1	C12	121
4EE95D	august	2016	1	C12	124
4EE9E0	june	2014	1	C12	103
4EE9E0	august	2012	2	C12	92
4EE4C7	august	2013	1	C10	102
4EE9E0	august	2014	1	C12	107
4EE9E0	june	2016	1	C12	109
4EE9E0	august	2016	2	C12	113
4EE9E0	june	2015	2	C12	110
4EE9E0	june	2017	2	C12	119
4EE9E0	august	2017	1	C12	124
4EEA5E	june	2015	1	C12	139
4EEA5E	august	2012	1	C12	144
4EEA71	august	2015	NA	C12	135
4EEA71	june	2016	1	C12	141
4EEA71	june	2014	2	C12	100
4EEA71	june	2017	2	C12	154
4EEA71	august	2017	1	C12	157
4EEB2C	august	2012	1	C12	130
4EEC41	august	2012	1	C12	106
6D7003	august	2012	1	C12	122
6DA244	august	2015	NA	C12	123
6DA244	august	2015	NA	C12	121
6DA244	june	2014	2	C12	113
6DA244	june	2017	2	C12	128
6DA244	august	2017	2	C12	133
6DABAF	august	2012	2	C12	124
C960D4	august	2012	1	C12	116
C96159	august	2012	2	C12	92
C9615F	august	2012	2	C12	109
C9615F	august	2014	1	C12	113
C9615F	august	2015	NA	C12	121
4EE5ED	august	2013	1	C10	118
C9615F	june	2014	2	C12	108
C9615F	june	2015	2	C12	114
C9615F	june	2017	2	C12	130
C9615F	august	2017	2	C12	136
C96203	august	2012	1	C12	114
C96446	august	2012	2	C12	84
C96446	june	2014	2	C12	103
C96666	june	2014	1	C12	105
C967B0	august	2012	2	C12	139
C969EF	august	2012	2	C12	122
C969EF	august	2014	1	C12	130
C969EF	june	2015	2	C12	130
C96D87	june	2014	2	C12	96
C96D87	august	2014	1	C12	101
C96FB2	august	2012	1	C12	110
C96FB2	june	2014	2	C12	112
C96FB2	august	2014	1	C12	115
C96FB2	august	2016	2	C12	128
C97B66	august	2012	1	C12	99
C97DA2	august	2012	2	C12	93
C97E27	august	2012	2	C12	128
C98378	august	2012	2	C12	81
C98378	june	2014	2	C12	95
C98378	august	2014	1	C12	98
C98378	june	2017	2	C12	126
C98378	august	2017	2	C12	130
C989E2	june	2015	1	C12	102
C989E2	june	2014	2	C12	97
C989E2	august	2015	NA	C12	104
C989E2	august	2016	2	C12	108
C989E2	june	2017	2	C12	107
C98ED6	june	2015	1	C12	105
C98ED6	august	2012	2	C12	92
C98ED6	june	2014	2	C12	97
C98ED6	august	2014	1	C12	101
C98ED6	june	2015	2	C12	107
C98ED6	august	2015	NA	C12	113
C98ED6	june	2016	1	C12	113
C98ED6	june	2017	2	C12	119
C98ED6	august	2017	1	C12	126
C98EDE	august	2016	1	C12	117
4EDDC1	august	2012	1	C13	113
4EE15F	june	2014	2	C13	118
4EE15F	august	2014	1	C13	118
4EE15F	august	2012	1	C13	118
4EE1A7	august	2012	1	C13	84
4EE250	august	2012	1	C13	95
4EE53E	august	2012	1	C13	116
4EE5FE	august	2012	1	C13	122
C966DB	august	2012	1	C13	120
C972DA	august	2012	1	C13	156
052742	june	2014	2	C17	128
053606	june	2014	1	C17	83
158566	june	2016	2	C17	107
158566	august	2016	2	C17	109
188099	august	2016	1	C17	125
655226	june	2015	2	C17	108
655249	august	2015	NA	C17	136
897834	june	2017	1	C17	69
897834	june	2017	2	C17	71
897834	august	2017	1	C17	82
897834	august	2017	2	C17	85
897899	june	2017	2	C17	66
