"capt.ID" "season" "year" "visit" "cave" "length" "ID"
"397" "655404" "august" "2015" NA "C11" 75 NA
"398" "655404" "august" "2016" 2 "C11" 103 NA
"399" "655407" "august" "2016" 1 "C11" 106 NA
"400" "655407" "june" "2017" 2 "C11" 107 NA
"401" "655413" "june" "2015" 1 "C11" 88 NA
"402" "655491" "june" "2016" 1 "C11" 101 NA
"403" "0726272" "august" "2016" 1 "C11" 53.5 NA
"404" "897766" "june" "2017" 2 "C11" 95 NA
"405" "897766" "august" "2017" 1 "C11" 105 NA
"406" "897775" "august" "2017" 1 "C11" 84.5 NA
"407" "897793" "june" "2017" 1 "C11" 74 NA
"408" "897821" "august" "2017" 1 "C11" 122 NA
"409" "897863" "june" "2017" 2 "C11" 75 NA
"410" "897863" "august" "2017" 1 "C11" 87 NA
"411" "897866" "august" "2017" 2 "C11" 83 NA
"412" "897870" "june" "2017" 2 "C11" 75 NA
"413" "897870" "august" "2017" 1 "C11" 88.5 NA
"414" "897914" "june" "2017" 2 "C11" 80 NA
"415" "C980FD" "august" "2013" 1 "C1" 108 NA
"416" "183143" "august" "2013" 2 "C10" 145 NA
"417" "182C34" "august" "2013" 2 "C10" 132 NA
"418" "897914" "august" "2017" 1 "C11" 89 NA
"419" "897932" "august" "2017" 1 "C11" 100 NA
"420" "897960" "august" "2016" 2 "C11" 80 NA
"421" "186DE4" "august" "2013" 2 "C10" 148 NA
"422" "897968" "june" "2017" 2 "C11" 106 NA
"423" "897979" "june" "2017" 1 "C11" 73 NA
"424" "897979" "august" "2017" 1 "C11" 82.5 NA
"425" "1053414" "august" "2015" NA "C11" 100 NA
"426" "1144832" "june" "2016" 2 "C11" 48 NA
"427" "1275648" "june" "2015" 2 "C11" 58 NA
"428" "1499264" "august" "2016" 2 "C11" 61 NA
"429" "1821568" "august" "2016" 1 "C11" 59.5 NA
"430" "2428800" "june" "2016" 1 "C11" 43 NA
"431" "2680704" "august" "2016" 1 "C11" 55 NA
"432" "2680704" "june" "2017" 2 "C11" 69 NA
"433" "3485568" "june" "2015" 2 "C11" 64 NA
"434" "3485568" "august" "2015" NA "C11" 71 NA
"435" "5675520" "august" "2015" NA "C11" 57 NA
"436" "7283840" "august" "2015" NA "C11" 60 NA
"437" "9023360" "june" "2017" 1 "C11" 62 NA
"438" "9425152" "june" "2015" 2 "C11" 56 NA
"439" "9425152" "august" "2015" NA "C11" 62 NA
"440" "182C85" "august" "2015" NA "C11" 109 NA
"441" "184A7D" "june" "2014" 2 "C11" 110 NA
"442" "184B30" "june" "2014" 2 "C11" 103 NA
"443" "184B30" "june" "2015" 1 "C11" 103 NA
"444" "184B30" "august" "2014" 1 "C11" 104 NA
"445" "18527B" "june" "2014" 2 "C11" 121 NA
"446" "1877A0" "august" "2015" NA "C11" 113 NA
"447" "1877A0" "june" "2016" 1 "C11" 115 NA
"448" "4ED9A2" "june" "2015" 1 "C11" 90 NA
"449" "4EDA27" "august" "2012" 1 "C11" 51 NA
"450" "4EDE35" "august" "2012" 1 "C11" 96 NA
"451" "4EDE3A" "august" "2012" 1 "C11" 112 NA
"452" "4EDEA8" "august" "2012" 1 "C11" 116 NA
"453" "4EE059" "august" "2012" 1 "C11" 128 NA
"454" "4EE08B" "august" "2012" 1 "C11" 108 NA
"455" "4EE16F" "august" "2012" 1 "C11" 114 NA
"456" "4EE16F" "august" "2014" 1 "C11" 115 NA
"457" "4EE36E" "august" "2012" 1 "C11" 70 NA
"458" "4EE36E" "june" "2014" 1 "C11" 77 NA
"459" "4EE36E" "june" "2016" 2 "C11" 94 NA
"460" "4EE397" "august" "2012" 1 "C11" 107 NA
"461" "4EE397" "june" "2014" 2 "C11" 115 NA
"462" "4EE397" "june" "2015" 2 "C11" 118 NA
"463" "4EE397" "august" "2015" NA "C11" 112 NA
"464" "4EE3BB" "august" "2012" 1 "C11" 89 NA
"465" "4EE3BB" "june" "2014" 2 "C11" 95 NA
"466" "4EE40A" "august" "2012" 1 "C11" 98 NA
"467" "4EE40A" "june" "2014" 2 "C11" 101 NA
"468" "4EE5C6" "august" "2012" 1 "C11" 64 NA
"469" "4EE74D" "august" "2012" 1 "C11" 96 NA
"470" "4EE819" "june" "2014" 2 "C11" 79 NA
"471" "4EE819" "august" "2014" 1 "C11" 85 NA
"472" "4EE819" "august" "2015" NA "C11" 95.5 NA
"473" "4EE82A" "august" "2012" 1 "C11" 124 NA
"474" "4EE82A" "june" "2014" 1 "C11" 130 NA
"475" "4EE979" "august" "2012" 1 "C11" 93 NA
"476" "4EEB4B" "august" "2012" 1 "C11" 92 NA
"477" "4EEB4B" "june" "2016" 1 "C11" 115.5 NA
"478" "4EEB80" "august" "2012" 1 "C11" 89 NA
"479" "4EEC18" "august" "2012" 1 "C11" 90 NA
"480" "4EEC18" "june" "2015" 1 "C11" 102 NA
"481" "4EEC35" "august" "2012" 1 "C11" 111 NA
